"subplot_code"	"yearcol"	"mass.Mg.ha"	"vol.m3.ha"	"input.mass.Mgha"	"input.vol.m3ha"	"type"
"03,23"	2020	7.4726706380601	30.4344672964467	7.4726706380601	30.4344672964467	"downed"
"03,23"	2021	8.88495815189362	32.7858234387219	8.88495815189362	32.7858234387219	"downed"
"03,23"	2022	6.89998223525854	25.4611890599947	6.89998223525854	25.4611890599947	"downed"
"03,23"	2023	7.71207672569063	28.4578476962754	7.71207672569063	28.4578476962754	"downed"
"03,23"	2024	4.88539696567622	18.027295076296	4.88539696567622	18.027295076296	"downed"
"05,03"	2017	17.6068172038317	74.9086781722962	17.6068172038317	74.9086781722962	"downed"
"05,03"	2018	45.6381114359974	145.334474076819	45.6381114359974	145.334474076819	"downed"
"05,03"	2019	41.7257772558322	146.72955808017	41.7257772558322	146.72955808017	"downed"
"05,03"	2020	33.496777594226	123.426111282364	33.496777594226	123.426111282364	"downed"
"05,03"	2021	37.7860269583618	139.431833794693	37.7860269583618	139.431833794693	"downed"
"05,03"	2022	26.8812386903158	99.1927626948922	26.8812386903158	99.1927626948922	"downed"
"05,03"	2023	22.954165044941	84.7017160329927	22.954165044941	84.7017160329927	"downed"
"05,03"	2024	18.8060973863198	69.3951933074532	18.8060973863198	69.3951933074532	"downed"
"05,12"	2017	3.13173913684265	10.959039093144	3.13173913684265	10.959039093144	"downed"
"05,12"	2018	2.95624671017503	10.8430712414312	2.95624671017503	10.8430712414312	"downed"
"05,12"	2019	1.70242612171415	7.99468799001991	1.70242612171415	7.99468799001991	"downed"
"05,12"	2020	1.95128324896699	10.9009780610032	1.95128324896699	10.9009780610032	"downed"
"05,12"	2021	2.86063543999981	10.5558503321026	2.86063543999981	10.5558503321026	"downed"
"05,12"	2022	5.96343234175387	22.0052853939257	5.96343234175387	22.0052853939257	"downed"
"05,12"	2023	5.6274487242246	20.7654934473232	5.6274487242246	20.7654934473232	"downed"
"05,12"	2024	2.1665604452954	7.99468799001991	2.1665604452954	7.99468799001991	"downed"
"05,20"	2017	3.88187306421838	17.8371509790063	3.88187306421838	17.8371509790063	"downed"
"05,20"	2018	0	0	0	0	"downed"
"05,20"	2019	3.8695028431556	18.3800563273506	3.8695028431556	18.3800563273506	"downed"
"05,20"	2020	35.4998606413256	147.39868641605	35.4998606413256	147.39868641605	"downed"
"05,20"	2021	38.3948052849429	141.678248283922	38.3948052849429	141.678248283922	"downed"
"05,20"	2022	0	0	0	0	"downed"
"05,20"	2023	9.39243362520141	34.6584266612598	9.39243362520141	34.6584266612598	"downed"
"05,20"	2024	9.27100811357365	34.2103620427072	9.27100811357365	34.2103620427072	"downed"
"05,24"	2017	1.71172491431285	7.60237121507661	1.71172491431285	7.60237121507661	"downed"
"05,24"	2018	0	0	0	0	"downed"
"05,24"	2019	0.715624825076476	5.17236666273028	0.715624825076476	5.17236666273028	"downed"
"05,24"	2020	1.91295837589428	12.3370055013617	1.91295837589428	12.3370055013617	"downed"
"05,24"	2021	0	0	0	0	"downed"
"05,24"	2022	0	0	0	0	"downed"
"05,24"	2023	0	0	0	0	"downed"
"05,24"	2024	6.73216804081999	24.8419484901107	6.73216804081999	24.8419484901107	"downed"
"06,06"	2017	40.821364077732	119.938671145982	40.821364077732	119.938671145982	"downed"
"06,06"	2018	34.4715559996378	134.00840907001	34.4715559996378	134.00840907001	"downed"
"06,06"	2019	14.5819623133528	55.7266393810727	14.5819623133528	55.7266393810727	"downed"
"06,06"	2020	5.34491099167321	18.9414671839469	5.34491099167321	18.9414671839469	"downed"
"06,06"	2021	4.97558325171741	18.3600857996952	4.97558325171741	18.3600857996952	"downed"
"06,06"	2022	11.2536854918713	41.5265147301522	11.2536854918713	41.5265147301522	"downed"
"06,06"	2023	9.08894298144277	33.5385349868737	9.08894298144277	33.5385349868737	"downed"
"06,06"	2024	8.61903816205113	31.8045688636573	8.61903816205113	31.8045688636573	"downed"
"06,09"	2017	14.1601288176733	70.4095264785183	14.1601288176733	70.4095264785183	"downed"
"06,09"	2018	12.9477260148444	62.1326294876548	12.9477260148444	62.1326294876548	"downed"
"06,09"	2019	22.5877794990204	81.8985170642302	22.5877794990204	81.8985170642302	"downed"
"06,09"	2020	10.3951450849464	46.7888644267581	10.3951450849464	46.7888644267581	"downed"
"06,09"	2021	14.9627741196414	55.2131886333629	14.9627741196414	55.2131886333629	"downed"
"06,09"	2022	11.4915842097997	42.4043697778585	11.4915842097997	42.4043697778585	"downed"
"06,09"	2023	7.16354099935437	26.4337306249239	7.16354099935437	26.4337306249239	"downed"
"06,09"	2024	5.98800580616175	22.0959623843607	5.98800580616175	22.0959623843607	"downed"
"07,01"	2017	15.1362598299853	67.3650619459198	15.1362598299853	67.3650619459198	"downed"
"07,01"	2018	8.36669682749113	43.4348952686441	8.36669682749113	43.4348952686441	"downed"
"07,01"	2019	5.23362564990552	27.3472087760153	5.23362564990552	27.3472087760153	"downed"
"07,01"	2020	2.28791150507135	13.9017233303563	2.28791150507135	13.9017233303563	"downed"
"07,01"	2021	7.48071839412251	27.6041269155812	7.48071839412251	27.6041269155812	"downed"
"07,01"	2022	5.44889408700912	20.1066202472661	5.44889408700912	20.1066202472661	"downed"
"07,01"	2023	3.30997878917261	12.2139438714856	3.30997878917261	12.2139438714856	"downed"
"07,01"	2024	3.73886514714189	13.7965503584572	3.73886514714189	13.7965503584572	"downed"
"07,13"	2017	14.1362818585719	97.7118593970225	14.1362818585719	97.7118593970225	"downed"
"07,13"	2018	31.3199208500831	99.424544185749	31.3199208500831	99.424544185749	"downed"
"07,13"	2019	25.6285869620927	93.6986315074295	25.6285869620927	93.6986315074295	"downed"
"07,13"	2020	24.2744380975833	89.0350121090616	24.2744380975833	89.0350121090616	"downed"
"07,13"	2021	24.5761599664831	90.6869371456939	24.5761599664831	90.6869371456939	"downed"
"07,13"	2022	11.7456353834996	43.3418279833932	11.7456353834996	43.3418279833932	"downed"
"07,13"	2023	9.01689425246455	33.2726725183194	9.01689425246455	33.2726725183194	"downed"
"07,13"	2024	6.46948690045303	23.8726453891256	6.46948690045303	23.8726453891256	"downed"
"07,20"	2017	1.04342474657935	4.25819455507937	1.04342474657935	4.25819455507937	"downed"
"07,20"	2018	0	0	0	0	"downed"
"07,20"	2019	1.10756869228617	3.90350564691522	1.10756869228617	3.90350564691522	"downed"
"07,20"	2020	7.54548793516974	38.1741648040104	7.54548793516974	38.1741648040104	"downed"
"07,20"	2021	8.72015295309685	32.1776861737891	8.72015295309685	32.1776861737891	"downed"
"07,20"	2022	6.09321617460879	22.4841925262317	6.09321617460879	22.4841925262317	"downed"
"07,20"	2023	3.84568449242516	14.1907176842257	3.84568449242516	14.1907176842257	"downed"
"07,20"	2024	5.41974444172936	19.9990569805511	5.41974444172936	19.9990569805511	"downed"
"08,06"	2017	3.48203410359751	18.8261161825092	3.48203410359751	18.8261161825092	"downed"
"08,06"	2018	0.957756182543055	3.14624482798477	0.957756182543055	3.14624482798477	"downed"
"08,06"	2019	1.29683456900937	3.66439905904196	1.29683456900937	3.66439905904196	"downed"
"08,06"	2020	0	0	0	0	"downed"
"08,06"	2021	6.90867488933481	25.4932652742982	6.90867488933481	25.4932652742982	"downed"
"08,06"	2022	7.1266390111364	26.2975609267026	7.1266390111364	26.2975609267026	"downed"
