file,year,uniqid,Field,OldValue,NewValue,Blank,Observer,Comment
CWD40_2023_standing.txt,2024,standing115,subplot_code,23;23,"23,23",,LP,"misstype, incorrect/missing character"
CWD40_2023_standing.txt,2024,standing187,code_of_piece,19.1,19-1,,LP,"misstype, incorrect/missing character"
CWD40_2023_standing.txt,2024,standing190,code_of_piece,19.1,19-1,,LP,"misstype, incorrect/missing character"
CWD40_2023_standing.txt,2024,standing188,code_of_piece,21.1,21-1,,LP,"misstype, incorrect/missing character"
CWD40_2023_standing.txt,2024,standing189,code_of_piece,22.1,22-1,,LP,"misstype, incorrect/missing character"
CWD40_2023_lessstanding.txt,2024,lessstanding035,POM,1..5,1.5,,LP,"misstype, incorrect/missing character"
CWD40_2024_fallen.txt,2024,fallen236,subplot_code,4021,"40,21",,,
CWD40_2024_fallen.txt,2024,fallen152,subplot_code,23;23,"23,23",,LP,"misstype, incorrect/missing character"
CWD40_2024_fallen.txt,2024,fallen209,subplot_code,34;04,"34,04",,LP,"misstype, incorrect/missing character"
CWD40_2024_fallen.txt,2024,fallen301,code_of_piece,20.1,20-1,,LP,"misstype, incorrect/missing character"
CWD40_2024_fallen.txt,2024,fallen302,code_of_piece,20.1,20-1,,LP,"misstype, incorrect/missing character"
CWD40_2024_fallen.txt,2024,fallen303,code_of_piece,20.1,20-1,,LP,"misstype, incorrect/missing character"
CWD40_2024_fallen.txt,2024,fallen170,code_of_piece,"9,1",9-1,,LP,"misstype, incorrect/missing character"
CWD40_2024_fallen.txt,2023,fallen304,code_of_piece,22.1,22-1,,LP,"misstype, incorrect/missing character"
CWD40_2024_fallen.txt,2024,fallen305,code_of_piece,22.2,22-2,,LP,"misstype, incorrect/missing character"
CWD40_2024_fallen.txt,2024,fallen270,year,2924,2024,,LP,incorrect value
CWD40_2024_fallen.txt,2024,fallen298,year,2924,2024,,LP,incorrect value
CWD40_2024_fallen.txt,2024,fallen302,year,2025,2024,,LP,incorrect value
CWD40_2024_fallen.txt,2024,fallen264,year,(,2024,,LP,incorrect value
CWD40_2024_fallen.txt,2024,fallen029,year,,2024,,LP,missing value
CWD40_2024_fallen.txt,2024,fallen051,year,,2024,,LP,missing value
CWD40_2024_fallen.txt,2024,fallen056,year,,2024,,LP,missing value
CWD40_2024_fallen.txt,2024,fallen090,year,,2024,,LP,missing value
CWD40_2024_fallen.txt,2024,fallen112,year,,2024,,LP,missing value
CWD40_2024_fallen.txt,2024,fallen119,year,,2024,,LP,missing value
CWD40_2024_fallen.txt,2024,fallen186,year,,2024,,LP,missing value
CWD40_2024_fallen.txt,2024,fallen190,year,,2024,,LP,missing value
CWD40_2024_fallen.txt,2024,fallen227,year,,2024,,LP,missing value
CWD40_2024_fallen.txt,2024,fallen263,year,,2024,,LP,missing value
CWD40_2024_fallen.txt,2024,fallen274,observer,"E-¡,",E,,LP,incorrect value
CWD40_2024_fallen.txt,2024,fallen276,observer,E.ÑUJOKTH,E,,LP,incorrect value
CWD40_2024_standing.txt,2024,standing022,code_of_piece,7.1,7-1,,LP,"misstype, incorrect/missing character"
CWD40_2024_standing.txt,2024,standing030,code_of_piece,24.1,24-1,,LP,"misstype, incorrect/missing character"
CWD40_2024_standing.txt,2024,standing045,code_of_piece,24.1,24-1,,LP,"misstype, incorrect/missing character"
CWD40_2024_standing.txt,2024,standing149,code_of_piece,21.1,21-1,,LP,"misstype, incorrect/missing character"
CWD40_2024_standing.txt,2024,standing148,code_of_piece,19.1,19-1,,LP,"misstype, incorrect/missing character"
CWD40_2024_standing.txt,2024,standing151,code_of_piece,19.1,19-1,,LP,"misstype, incorrect/missing character"
CWD40_2024_standing.txt,2024,standing150,code_of_piece,22.1,22-1,,LP,"misstype, incorrect/missing character"
CWD40_2024_standing.txt,2024,standing043,year,2924,2024,,LP,incorrect value
CWD40_2024_standing.txt,2024,standing118,year,2924,2024,,LP,incorrect value
