file,code_of_piece,year,notes_new,uniqid,EX,DP,PN,AA,SD,CH,CAIDO,VIVO,bark_present,bark_absent,BUTTRESS
CWD40_2017_fallen.txt,"46,07L.3.1",2017,Nada,fallen326,,*,,,,,,,,,
CWD40_2017_fallen.txt,"46,07P.3.1",2017,Nada,fallen327,,*,,,,,,,,,
CWD40_2017_fallen.txt,"47,17D.3.1",2017,Se descompuso,fallen335,,*,,,,,,,,,
CWD40_2017_fallen.txt,"49,01E.9.1",2017,Nada,fallen341,,*,,,,,,,,,
CWD40_2017_fallen.txt,"49,21A.3.1",2017,Nada,fallen347,,*,,,,,,,,,
CWD40_2018_fallen.txt,"33,21O.3.1",2018,Se descompuso,fallen219,,*,,,,,,,,,
CWD40_2018_fallen.txt,"43,10L.4.1",2018,rama de arbol caido,fallen272,,*,,,,,,,,,
CWD40_2018_fallen.txt,"05,12E.2.1",2018,se rajo en dos partes,fallen038,,*,,*,,,,,,,
CWD40_2018_fallen.txt,"39,07N.7.1",2018,se descompuso,fallen254,,*,,,,,,,,,
CWD40_2018_fallen.txt,"26,21B.4.2",2018,"es el mismo que 26,21 A 3-2",fallen189,,*,,,,,,,,,
CWD40_2018_fallen.txt,"09,12C.7.1",2018,NA,fallen075,,*,,,,,,,,,
CWD40_2018_fallen.txt,"02,16B.9.2",2018,es la misma muestra de B9-1no,fallen009,,*,,,,,,,,,
CWD40_2018_fallen.txt,"03,23M.4.1",2018,NA,fallen022,,*,,,,,,,,,
CWD40_2018_fallen.txt,"36,13A.5.1",2018,TAB2AR. El mismo que C 5-1,fallen230,,*,,,,,,,,,
CWD40_2018_fallen.txt,"08,06L.4.1",2018,Se descompuso,fallen072,,*,,,,,,,,,
CWD40_2018_fallen.txt,"12,23I.5.1",2018,No mide,fallen092,,*,,,,,,,,,
CWD40_2018_fallen.txt,"39,07L.4.1",2018,se descompuso,fallen249,,*,,,,,,,,,
CWD40_2018_fallen.txt,"18,23F.4.1",2018,CorrecciÃ³n la muestra tiene corteza,fallen125,,*,,,,,,,,,
CWD40_2018_fallen.txt,"03,23L.4.1",2018,se esta rompiendo,fallen021,,*,,,,,,,,,
CWD40_2018_fallen.txt,"37,17H.6.1",2018,es el mismo que G6-1,fallen241,,*,,,,,,,,,
CWD40_2018_fallen.txt,"19,16K.NA",2018,se descompuso,fallen134,,*,,,,,,,,,
CWD40_2018_fallen.txt,"03,12B.9.1",2018,NA,fallen016,,*,,,,,,,,,
