month	day	subplot_code	transect_section_letter	code_of_piece	diameter_width_prior	diameter_width.mm	penetration.200mm	penetration.200mm.1	branchfall	tag	notes	RT	RR	TT	TC	TS	TV	MC	MS	year	uniqid
1	26	09,12	J	9-1	278	312	133	NA	1	NA	es el mismo que G 9-1	NA	NA	*	*	NA	NA	NA	*	2017	fallen081
1	26	09,12	O	2-1	218	201	86	NA	1	217093	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen082
1	26	09,12	P	2-1	250	272	90	NA	1	217093	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen083
1	31	10,20	F	7-1	NA	216	56	NA	1	no tag	corteza	NA	NA	*	*	NA	NA	*	NA	2017	fallen084
1	31	10,20	H	4-1	335	141	NA	NA	1	NA	es la misma que H 4-2	NA	NA	*	*	NA	NA	*	NA	2017	fallen085
1	31	10,20	I	5-1	215	128	NA	NA	1	NA	es el mismo que 10,20 H 3-1	NA	NA	*	*	NA	NA	*	*	2017	fallen086
1	31	10,20	K	7-1	NA	283	127	NA	0	6784	no corteza	NA	*	NA	NA	*	NA	NA	*	2017	fallen087
2	2	11,15	A	7-1	NA	205	24	NA	0	207432	NA	*	NA	NA	NA	*	NA	*	NA	2017	fallen088
2	2	11,15	G	5-1	249	240	29	NA	1	6753	Se corrigió es TT	NA	NA	*	NA	*	NA	NA	*	2017	fallen089
2	2	11,15	G	5-2	238	238	37	NA	0	6753	NA	NA	*	NA	NA	*	NA	*	NA	2017	fallen090
2	2	11,15	I	3-1	298	175	NA	NA	1	no tag	revisar censo anterior	NA	NA	*	NA	*	NA	NA	NA	2017	fallen091
2	2	11,15	O	6-1	327	348	22	NA	1	6532	NA	NA	NA	*	NA	*	NA	NA	*	2017	fallen092
2	2	11,15	K	3-1	432	440	110	NA	1	6528	NA	NA	NA	*	*	NA	NA	*	NA	2017	fallen093
2	1	12,23	C	NA	690	670	29	NA	1	209063	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen094
2	1	12,23	I	5-1	216	215	156	NA	0	209240	TACHVE. Corregir en censo anterior es RR de TS con MC	NA	*	NA	NA	*	NA	*	NA	2017	fallen095
2	6	14,05	A	2-1	291	127	NA	NA	0	NA	NA	NA	*	NA	NA	NA	*	NA	*	2017	fallen096
2	6	14,05	A	3-1	320	NA	NA	NA	0	NA	se descompuso	NA	*	NA	NA	NA	*	NA	*	2017	fallen097
2	6	14,05	K	2-1	670	578	67	NA	1	no tag	es el mismo que I 2-1. Tiene lianas encima	NA	NA	*	NA	*	NA	NA	*	2017	fallen098
2	6	14,05	N	3-1	NA	NA	NA	NA	0	NA	es el mismo que K 2-1, I 2-1. No se encontró nada	*	NA	*	NA	NA	NA	NA	*	2017	fallen099
2	6	14,05	N	6-1	286	NA	NA	NA	0	no tag	No encontrado	NA	*	NA	*	NA	NA	NA	*	2017	fallen100
2	6	14,05	P	3-1	441	433	NA	6	0	NA	es el mismo que 14,05 A 3-1	NA	*	NA	NA	NA	*	*	NA	2017	fallen101
2	2	14,14	B	7-1	NA	342	194	NA	1	no tag	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen102
