month	day	subplot_code	transect_section_letter	code_of_piece	diameter_width_prior	diameter_width.mm	diameter_height.mm	penetration.200mm	penetration.200mm.1	branchfall	tag	inclination	orientation_degrees	suspended	soil_contact	notes_prior	notes	RT	RR	TT	TC	TS	TV	MC	MS	year	uniqid
2	14	29,06	F	3-1	228	NA	NA	NA	NA	1	3601	NA	NA	NA	NA	es el mismo arbol	Nada. Se descompuso	NA	NA	*	*	NA	NA	NA	*	2019	fallen216
2	12	29,13	F	8-1	NA	508	NA	38	NA	1	3732	2	112	NA	*	Con corteza	NA	NA	NA	*	*	NA	NA	NA	*	2019	fallen217
2	12	2913	L	19-1	NA	336	NA	45	NA	1	3556	6	280	NA	*	NA	NA	NA	NA	*	NA	NA	*	NA	*	2019	fallen218
1	17	30,23	L	7-1	400	468	238	70	NA	0	3468	11	NA	NA	NA	esta muestra esta en el aire, no toca el suelo	La muestra sigue en el aire	NA	NA	*	NA	NA	*	NA	*	2019	fallen219
2	18	31,16	K	8-1	NA	195	NA	NA	NA	1	3184	NA	NA	NA	NA	No mide	2019	NA	NA	NA	NA	NA	NA	NA	NA	2019	fallen220
2	18	31,16	K	8-2	NA	198	NA	NA	NA	1	3184	NA	NA	NA	NA	Sin corteza en el aire	2019	NA	NA	NA	NA	NA	NA	NA	NA	2019	fallen221
2	18	31,16	K	8-3	NA	208	NA	73	NA	1	3184	11	40	NA	NA	Sin corteza	2019	NA	*	NA	*	NA	NA	NA	*	2019	fallen222
2	18	31,16	K	8-4	NA	457	NA	60	NA	1	3184	9	20	NA	*	Sin corteza	2019	NA	*	NA	*	NA	NA	NA	*	2019	fallen223
2	18	31,16	B	8-1	NA	390	NA	34	NA	1	3190	41	350	*	NA	149 irregular  sin corteza rama seca	2019	NA	*	NA	NA	NA	NA	NA	*	2019	fallen224
2	18	31;16	K	19-1	NA	356	213	123	NA	1	3184	28	355	*	NA	213 irregular  en el aire sin corteza	2019	NA	NA	NA	NA	NA	NA	NA	NA	2019	fallen225
2	18	31,16	D	9-1	587	553	NA	152	NA	1	no tag	7	110	NA	*	tronco,tronco de tronco caido sin corteza	2019	NA	NA	*	*	NA	NA	NA	*	2019	fallen226
2	18	31;16	I	19-1	NA	766	NA	98	NA	1	3184	1	280	NA	*	NA	2019	NA	NA	*	*	NA	NA	NA	*	2019	fallen227
2	18	31;16	I	19-2	NA	208	156	29	NA	2	No tag	1	270	*	NA	156 irregular  con corteza en el aire	2019	NA	NA	*	*	NA	NA	*	NA	2019	fallen228
2	18	31;16	H	19-1	NA	588	NA	107	NA	1	3184	4	260	NA	*	NA	2019	NA	NA	*	*	NA	NA	NA	*	2019	fallen229
2	14	32,07	B	8-1	400	400	346	40	NA	1	2994	1	230	NA	*	NA	Es el mismo que O 19-2	NA	NA	*	*	NA	NA	*	NA	2019	fallen230
2	14	32,07	O	7-1	213	214	NA	36	NA	0	2995	2	240	*	NA	NA	NA	*	NA	NA	NA	NA	*	*	NA	2019	fallen231
2	14	32,07	O	19-1	NA	313	NA	31	NA	1	NA	3	250	NA	*	NA	Buscar en base de datos ubicación 32,06 33	NA	NA	*	*	NA	NA	*	NA	2019	fallen232
2	14	32,07	O	19-2	NA	552	NA	44	NA	1	NA	9	225	NA	*	NA	Buscar en base de datos ubicación 32,06 33 tiene banda metal y plástica. Esta pegado al árbol anterior	NA	NA	*	*	NA	NA	*	NA	2019	fallen233
2	14	32,07	C	19-1	NA	353	199	93	NA	1	96221	7	245	*	NA	NA	NA	NA	NA	*	NA	*	NA	NA	*	2019	fallen234
2	14	32,07	I	19-1	NA	887	305	60	NA	1	3248	0	100	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2019	fallen235
2	15	33,12	G	2-1	932	854	NA	46	NA	1	no tag	7	326	NA	*	es el que estaba parado en F 9-1.Se esta rajando	NA	NA	NA	*	*	NA	NA	NA	*	2019	fallen236
2	15	33,12	J	9-1	672	625	780	20	NA	0	No tag	3	10	NA	*	es el mismo que J9-2	NA	*	NA	NA	*	NA	NA	NA	*	2019	fallen237
2	15	33,12	J	9-3	360	363	330	38	NA	0	No tag	23	342	*	NA	el mismo que J9-1. Está en el aire	NA	*	NA	NA	*	NA	NA	NA	*	2019	fallen238
2	14	34,04	C	19-1	NA	242	265	38	NA	0	2600	1	140	*	NA	NA	NA	NA	*	NA	NA	*	NA	NA	*	2019	fallen239
2	14	34,04	D	7-1	539	533	648	140	NA	1	2919	5	154	NA	*	NA	NA	NA	NA	*	*	NA	NA	*	NA	2019	fallen240
2	14	34,04	E	7-1	993	1099	NA	27	NA	1	2919	8	154	NA	*	la muestra está rajada	la muestra está rajada	NA	NA	*	*	NA	NA	NA	*	2019	fallen241
2	14	34,04	L	0-1	NA	360	NA	200	NA	0	No tag	4	275	NA	*	No se pueden encontrar ni medir la muestra le cayo muchas ramas encima	Esta hueco en el centro	*	NA	NA	NA	NA	NA	NA	*	2019	fallen242
2	14	34,04	L	6-1	NA	NA	NA	NA	NA	1	2614	NA	NA	NA	NA	No se pueden encontrar ni medir la muestra le cayo muchas ramas encima	No se pueden encontrar ni medir la muestra le cayo muchas ramas encima	NA	NA	*	*	NA	NA	*	NA	2019	fallen243
2	14	34,04	L	7-1	NA	NA	NA	NA	NA	0	2609	NA	NA	NA	NA	No se pueden encontrar ni medir la muestra le cayo muchas ramas encima	No se pueden encontrar ni medir la muestra le cayo muchas ramas encima	NA	*	NA	NA	NA	*	NA	*	2019	fallen244
2	14	34,04	M	19-1	NA	218	314	37	NA	0	2274	11	250	*	NA	NA	NA	NA	*	NA	*	NA	NA	*	NA	2019	fallen245
2	18	34,15	M	0-2	337	341	262	67	NA	0	no tag	26	325	NA	*	rama de tronco caido sin corteza  262 irregular	2019	*	NA	NA	*	NA	NA	NA	*	2019	fallen246
2	18	34,15	P	6-1	267	268	NA	NA	19	2	2677	15	350	NA	*	rama de tronco en el suelo con corteza	2019	*	NA	NA	*	*	NA	*	NA	2019	fallen247
2	18	34,15	P	6-2	320	280	318	100	NA	0	2677	7	40	*	NA	318 irregular  en el aire con corteza	2019	*	NA	NA	*	*	NA	*	NA	2019	fallen248
2	14	36,04	I	19-1	NA	733	675	42	NA	1	2274	1	270	*	NA	NA	NA	NA	NA	*	*	NA	NA	*	NA	2019	fallen249
2	14	36,04	P	3-1	243	242	NA	NA	14	1	2272	6	300	NA	*	Sin corteza	NA	NA	NA	*	*	NA	NA	NA	*	2019	fallen250
2	15	36,10	B	5-1	860	842	731	40	NA	1	2309	3	234	*	NA	NA	NA	NA	NA	*	*	NA	NA	NA	*	2019	fallen251
2	15	36,13	B	5-1	197	190	NA	NA	NA	1	no tag	NA	NA	NA	NA	TAB2AR. El mismo que A 5-1. Corrección está en B y no en C	NA	tronco tronco sin corteza	NA	*	*	NA	NA	NA	*	2019	fallen252
2	15	36,13	C	8-1	255	223	NA	196	NA	1	2504	NA	NA	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2019	fallen253
2	15	36,13	L	6-1	2889	1398	NA	40	NA	1	no tag	1	90	NA	*	el árbol está en 36,13 en 4,4. Está hueco ñ el centro	NA	NA	NA	*	*	NA	NA	*	NA	2019	fallen254
2	15	36,13	M	6-1	561	593	NA	54	NA	0	2347	3	205	NA	*	rama sin corteza. Se rajo la muestra en dos partes	se esta rajando	*	NA	NA	NA	*	NA	NA	*	2019	fallen255
2	15	36,13	M	6-2	NA	NA	NA	NA	NA	0	2347	NA	NA	NA	NA	Sin corteza  no se puede medir porque la muestra M 6-3 le cayo encima	Se descompuso	NA	*	NA	NA	*	NA	*	NA	2019	fallen256
2	15	36,13	M	6-3	333	328	NA	68	NA	0	2347	12	180	NA	*	rama de tronco sin corteza	NA	*	NA	NA	NA	*	NA	NA	*	2019	fallen257
2	15	36,13	M	6-4	268	258	NA	27	NA	0	2347	12	200	*	NA	rama de tronco sin corteza	NA	*	NA	NA	NA	*	NA	NA	*	2019	fallen258
2	15	36,13	M	6-5	NA	308	NA	47	NA	0	2347	2	138	NA	*	Sin corteza  no se puede medir porque la muestra M 6-3 le cayo encima	cooreguir la muestra que le cayo encima es 6-4 y no 6-3	*	NA	NA	NA	*	NA	NA	*	2019	fallen259
