month	day	subplot_code	transect_section_letter	code_of_piece	diameter_prior	diameter_one.mm	height	POM	penetration.200mm	penetration.200mm.1	branches	tag	notes_prior	notes	MC	MS	year	observer	diameter_two.mm	uniqid
2	7	19,06	A	7-1	602	537	13.1	1.3	127	NA	2	5235	sin corteza	NA	NA	*	2019	R	526	standing077
2	7	19,06	G	8-1	214	NA	8.7	1.3	NA	NA	2	No tag	Corteza. Están en 18, 06 en el 3,2	caido	NA	NA	2019	R	NA	standing078
2	7	19,08	K	6-1	328	303	2.26	1.3	140	NA	2	5217	con. Corteza	NA	*	NA	2019	R	284	standing079
2	7	19,12	E	19-1	NA	513	11.7	1.3	21	NA	2	5332	NA	NA	*	NA	2019	R	351	standing080
2	28	19,12	L	7-1	625	624	10	3.0	10	NA	2	5198	escalera. Tiene banda de metal está en el 3,4. Con corteza Irregular 543. Corregir altura anterior	NA	*	NA	2019	R	595	standing081
2	5	19,16	I	7-1	NA	NA	10.7	1.3	NA	NA	2	172319	corteza	Caido	NA	NA	2019	R	NA	standing082
2	5	19,19	C	8-1	233	241	2.9	1.3	38	NA	2	818500	sin corteza	Sin corteza	NA	NA	2019	R	196	standing083
2	5	19,19	D	19-1	NA	318	6.8	1.3	37	NA	2	5381	NA	Con corteza	NA	NA	2019	R	259	standing084
2	5	19,19	E	19-1	NA	249	8.4	1.3	29	NA	2	5383	NA	Con corteza	NA	NA	2019	R	225	standing085
2	5	19,19	F	3-1	517	577	1	0.5	80	NA	2	172649	Irregular 500	sin corteza	NA	NA	2019	R	560	standing086
2	5	19,19	N	6-1	456	NA	4.7	1.3	NA	NA	2	5154	con corteza. Irregular 343	caido	NA	NA	2019	R	NA	standing087
2	13	21,04	F	19-1	NA	298	2.5	1.3	62	NA	2	160651	NA	NA	*	NA	2019	R	267	standing088
2	13	21,08	C	8-1	443	416	14.7	1.5	28	NA	2	5003	Irregular 342. Con corteza	NA	*	NA	2019	R	447	standing089
2	13	21,08	F	5-1	242	NA	7.6	1.3	NA	NA	2	5002	sin ramas. Sin corteza	Caido	NA	NA	2019	R	NA	standing090
2	13	21,08	P	2-1	353	357	0.6	0.30	38	NA	2	4909	solo queda un pedazo de pie. Sin cascara. Irregular 313	NA	NA	*	2019	R	323	standing091
2	13	21,10	O	4-1	228	226	5.5	1.3	37	NA	2	156491	NA	NA	NA	*	2019	R	199	standing092
2	13	21,10	H	8-1	203	206	14.1	1.3	31	NA	1	161881	Con corteza	en el censo anterior parte de la copa no se veia por lianas por eso la altura ahora ea mayor	NA	*	2019	R	173	standing093
2	8	2117	B	19-1	NA	399	12.7	1.3	15	NA	2	4867	NA	NA	*	NA	2019	R	373	standing094
2	8	22,19	D	8-1	318	318	7	1.3	24	NA	2	4855	Irregular 268	NA	NA	*	2019	R	271	standing095
2	8	22,19	O	8-1	241	256	5.7	1.3	114	NA	2	152436	NA	El tag e 152736 y no 152436	*	NA	2019	R	221	standing096
2	28	22,21	F	8-1	508	507	21.6	3	13	NA	1	4833	Escalera. Era árbol con banda el tag debe estar en la lista.	NA	*	NA	2019	R	542	standing097
2	13	23,03	D	2-1	623	NA	8	1.5	NA	NA	2	4649	sin ramas. Sin corteza. Irregular 556	Caido	NA	NA	2019	R	NA	standing098
