month	day	subplot_code	transect_section_letter	code_of_piece	diameter_prior	diameter_one.mm	height	POM	penetration.200mm	penetration.200mm.1	branches	tag	notes	year	observer	diameter_two.mm	uniqid
2	15	05,24	L	4-1	NA	193	3	1.3	NA	NA	2	NA	tronco no tag	2018	R	NA	standing034
2	15	05,24	N	7-1	563	526	16.7	1.3	NA	NA	2	239534	Sin corteza	2018	R	NA	standing035
1	24	06,06	B	2-1	NA	NA	NA	NA	NA	NA	NA	7342	el resto del arbol se cayo	2018	R	NA	standing036
2	19	06,06	C	7-1	288	250	2.6	1.3	172	NA	2	no tag	Irregular 203	2018	R	203	standing037
2	19	06,06	I	5-1	339	336	2.5	1.3	NA	12	2	7592	sin ramas. Sin corteza	2018	R	NA	standing038
2	19	06,06	I	5-2	618	618	9.5	1.3	30	NA	2	13123	sin ramas. Sin corteza	2018	R	NA	standing039
2	20	07,01	B	3-1	243	245	3.2	1.3	41	NA	2	7311	corteza	2018	R	NA	standing040
2	20	7.1	I	7-1	338	330	3	1,3	100	NA	2	7321	corteza	2018	R	NA	standing041
2	20	07,01	K	7-1	556	NA	22.6	1.3	NA	NA	2	7301	Este árbol está vivo, tiene hojas	2018	R	NA	standing042
2	19	07,13	B	0-1	260	249	1.14	0.56999999999999995	NA	8	2	no tag	NA	2018	R	NA	standing043
1	31	07,20	B	5-1	290	NA	5.3	1.3	NA	NA	2	7183	sin ramas. Con corteza	2018	R	NA	standing044
2	19	08,06	M	3-1	444	335	1.2	0.55000000000000004	160	2	2	7036	sin corteza	2018	R	NA	standing045
2	19	09,12	C	3-1	322	NA	0.65	0.35	NA	1	2	222154	NA	2018	R	NA	standing046
2	19	09,12	D	7-1	205	204	5.7	1.3	51	NA	2	222123	corteza	2018	R	NA	standing047
2	19	09,12	N	NA	214	198	1.02	0.73	NA	5	2	no tag	sin corteza	2018	R	NA	standing048
2	22	10,20	H	4-1	441	427	11.5	1.3	22	NA	2	6849	sin ramas. Sin corteza	2018	R	NA	standing049
2	22	10,20	M	7-1	454	402	2.5	1.3	103	NA	2	6784	NA	2018	R	NA	standing050
2	20	11,08	O	NA	438	338	3	1.3	NA	19	2	6563	Irregular 287	2018	R	287	standing051
2	22	11,15	D	7-1	277	317	1.1	0.55000000000000004	NA	7	2	212912	Sin corteza. Irregular 222	2018	R	222	standing052
2	22	11,15	G	5-1	302	297	8.7	1.3	28	NA	2	6753	sin ramas. Corteza	2018	R	NA	standing053
2	22	11,15	J	NA	212	NA	2.1	1.3	NA	NA	2	6528	Se descompuso	2018	R	NA	standing054
2	22	11,15	J	8-1	NA	615	1	0.5	NA	7	2	No tag	irregular 351. Sin corteza. Es TAB2AR	2018	R	351	standing055
2	22	11,15	K	7-1	298	281	8.8	1.3	18	NA	2	213119	corteza. Está en J y no en K	2018	R	NA	standing056
