month	day	subplot_code	transect_section_letter	code_of_piece	diameter_prior	diameter_one.mm	height	POM	branches	tag	notes_prior	notes	MC	MS	year	observer	irregular_diameter_prior	diameter_two.mm	uniqid
3	2	17,01	K	21-1	NA	319	8.7	1.3	2	5587	NA	NA	*	NA	2021	E	NA	242	standing087
3	2	17,01	O	21-1	NA	385	11.7	1.3	2	5594	NA	NA	*	NA	2021	E	NA	NA	standing088
3	2	17,01	O	21-2	NA	359	13.5	1.3	2	5597	NA	NA	*	NA	2021	E	NA	NA	standing089
3	2	17,08	N	7-1	243	NA	NA	1.3	2	176354	NA	Caido. El area la destruyó parte del otro árbol 5542 que cayó	*	NA	2021	E	229	NA	standing090
3	10	17,08	N	21-1	NA	566	6.3	2.9	2	5542	NA	Escalera	NA	NA	2021	E	NA	527	standing091
3	3	18,23	O	2-1	553	536	7.5	1.3	2	5421	15 grados inclinacion	NA	NA	*	2021	E	527	524	standing092
3	2	19,02	M	19-1	NA	NA	NA	0.54	2	no tag	No se encontró  árbol le cayó  encima	Nada	NA	*	2021	E	NA	NA	standing093
3	2	19,06	N	20-1	231	NA	NA	1.3	NA	5231	NA	Caido	*	NA	2021	E	NA	NA	standing094
3	3	19,12	E	19-1	508	529	1.3	0.7	2	5332	NA	Quebrado a 1.3m	NA	*	2021	E	374	327	standing095
3	3	19,12	F	20-1	243	NA	NA	1.3	2	418272	NA	Caído	*	NA	2021	E	NA	NA	standing096
3	3	19,12	N	20-1	218	224	2	1.3	0	619102	14 grados inclinación	NA	*	NA	2021	E	NA	NA	standing097
3	3	19,16	D	20-1	228	227	11	1.3	2	172117	NA	NA	*	NA	2021	E	NA	191	standing098
3	10	19,16	N	20-1	390	372	3.3	3	1	167104	Escalera	Escalera	*	NA	2021	E	372	367	standing099
3	10	19,16	P	20-1	610	635	8.8	3	1	5177	Escalera	Escalera	*	NA	2021	E	604	609	standing100
3	3	19,19	C	8-1	231	NA	NA	1.3	2	818500	NA	caido	NA	*	2021	E	128	NA	standing101
3	3	19,19	C	21-1	NA	608	7.6	1.3	2	5380	NA	NA	*	NA	2021	E	NA	627	standing102
3	3	19,19	D	19-1	322	316	6.5	1.3	2	5381	NA	NA	*	NA	2021	E	268	265	standing103
3	3	19,19	E	19-1	249	NA	NA	1.3	2	5383	14 grados inclinacion	Caido	*	NA	2021	E	223	NA	standing104
3	3	19,19	F	3-1	549	539	1.1	0.5	2	172649	NA	NA	NA	*	2021	E	483	469	standing105
3	3	19,19	F	20-1	264	NA	NA	1.8	2	718325	NA	Caido	NA	*	2021	E	221	NA	standing106
3	2	21,04	F	19-1	293	NA	NA	1.3	2	160651	NA	Caido	*	NA	2021	E	268	NA	standing107
3	3	21,08	C	8-1	433	267	0.8	0.4	2	5003	NA	Parte principal del tronco se cayó. Quedo solo la base del árbol. perdio madera y corteza	NA	*	2021	E	340	154	standing108
3	3	21,08	P	2-1	351	365	0.43	0.3	2	4909	NA	NA	NA	*	2021	E	249	238	standing109
3	3	21,10	O	4-1	228	222	3.5	1.3	2	156491	NA	NA	NA	*	2021	E	201	186	standing110
3	3	21,10	H	8-1	214	170	1.3	1.3	2	161881	NA	Quebrado a 1.3m	NA	*	2021	E	178	NA	standing111
3	3	21,15	J	21-1	NA	766	32.2	1.3	0	5041	NA	NA	*	NA	2021	E	NA	639	standing112
3	3	21,17	B	19-1	398	399	14.7	1.3	2	4867	NA	NA	*	NA	2021	E	370	366	standing113
3	3	22,19	D	8-1	318	297	7.1	1.3	2	4855	NA	NA	NA	*	2021	E	282	267	standing114
3	3	22,19	J	20-1	451	NA	NA	3	1	4846	Escalera cecrin	Caido	*	NA	2021	E	451	NA	standing115
3	3	22,21	M	20-1	257	NA	NA	1.3	2	No tag	NA	Nada	*	NA	2021	E	183	NA	standing116
3	4	23,03	K	9-1	309	304	4.8	1.3	2	no tag	NA	NA	*	NA	2021	E	261	258	standing117
3	4	23,06	I	20-1	550	561	18.2	1.6	1	4671	NA	NA	*	NA	2021	E	496	497	standing118
3	4	23,06	J	19-1	223	229	2.8	1.3	2	151130	Tag 151130	NA	*	NA	2021	E	NA	207	standing119
3	4	23,06	K	5-1	529	502	24	1.3	1	4585	NA	NA	NA	*	2021	E	488	487	standing120
3	4	23,06	K	8-1	382	339	1.7	1.3	2	4584	se esta inflando la cascara	NA	NA	*	2021	E	315	234	standing121
3	4	23,06	L	20-1	341	NA	NA	1.3	2	No tag	NA	Caido	NA	*	2021	E	295	NA	standing122
3	3	23,17	H	6-1	188	179	1.9	1.3	2	no tag. Sin corteza. Es el mismo que I6-1 fallen	No mide	NA	NA	*	2021	E	NA	169	standing123
