month	day	subplot_code	transect_section_letter	code_of_piece	diameter_width_prior	diameter_width.mm	diameter_height_prior	diameter_height.mm	penetration.200mm	penetration.200mm.1	branchfall	tag	inclination	orientation_degrees	suspended	soil_contact	notes_prior	notes	RT	RR	TT	TC	TS	TV	MC	MS	year	observer	uniqid
2	10	05,24	B	7-1	259	400	392	-	-	14	0	7475	3	70	-	*	-	se abrio	*	-	-	-	-	*	NA	*	2020	R	fallen041
2	10	05,24	G	4-1	-	-	-	-	-	-	1	-	-	-	-	-	nada	Nada	-	-	*	*	-	-	*	NA	2020	R	fallen042
2	10	05,24	G	5-1	-	-	-	-	-	-	1	-	-	-	-	-	nada	Nada	-	-	*	*	-	-	NA	*	2020	R	fallen043
2	5	06,06	A	NA	570	132	-	-	-	-	1	no tag	2	290	-	*	-	Se descompuso	-	-	*	*	-	-	NA	*	2020	R	fallen044
2	5	06,06	D	4-1	381	390	-	-	37	-	0	-	6	267	-	*	-	-	-	*	-	*	-	-	NA	*	2020	R	fallen045
2	5	06,06	E	20-1	-	205	-	-	43	-	0	7680	23	144	*	-	-	-	-	*	-	-	-	*	*	NA	2020	R	fallen046
2	5	06,06	H	7-1	228	235	-	-	55	-	1	7592	4	243	-	*	-	-	-	-	*	-	*	-	NA	*	2020	R	fallen047
2	5	06,06	I	5-1	338	227	-	-	156	-	1	13123	9	288	-	*	La parte que se rajo y abrió anteriormente se desintegró por eso mide mucho menos. 230 grados	-	-	-	*	-	*	-	NA	*	2020	R	fallen048
2	5	06,06	N	8-1	294	195	-	-	-	-	1	No tag	-	-	-	-	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen049
2	5	06,09	C	6-1	310	173	-	-	-	-	1	-	8	330	-	-	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen050
2	5	06,09	D	6-1	332	227	407	230	-	3	1	no tag	2	275	*	-	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen051
2	5	06,09	E	19-1	611	641	-	-	76	-	0	no tag	2	325	-	-	Es un ficus, estrangulador	-	*	-	-	*	-	-	*	NA	2020	R	fallen052
2	5	06,09	D	19-1	549	507	-	-	93	-	0	no tag	48	360	*	-	Es el mismo que E 19-1. Ficus	-	*	-	-	*	-	-	*	NA	2020	R	fallen053
2	5	06,09	G	8-1	212	110	-	-	-	-	0	7570	17	340	-	-	-	se descompuso	-	*	-	*	-	-	*	NA	2020	R	fallen054
2	5	06,09	G	8-2	369	380	-	-	117	-	1	7570	4	270	-	-	-	-	-	-	*	*	-	-	*	NA	2020	R	fallen055
2	5	07,01	G	6-1	305	-	-	-	-	-	1	no tag	1	242	-	-	-	nada	-	-	*	*	-	-	NA	*	2020	R	fallen056
2	5	07,01	J	6-1	290	-	183	-	-	-	1	no tag	6	242	-	-	-	Solo clavo	-	-	*	*	-	-	NA	*	2020	R	fallen057
2	5	07,01	K	7-2	262	257	233	236	-	6	1	-	3.3	145	*	-	Hongos. Es TT y no RT.  140 grados	-	-	-	*	*	-	-	*	NA	2020	R	fallen058
2	5	07,01	N	7-1	330	338	-	-	151	-	1	220032	5.6	320	-	*	-	-	-	-	*	*	-	-	*	NA	2020	R	fallen059
2	6	07,13	A	0-1	1028	1004	-	-	54	-	1	no tag	1	330	-	*	-	completamente hueco en el centro	-	-	*	*	-	-	NA	*	2020	R	fallen060
2	6	07,13	J	9-1	398	383	-	-	54	-	1	no tag	1.5	340	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen061
2	10	07,20	H	19-1	225	218	-	-	89	-	0	No tag	3.8	310	-	*	-	-	-	-	*	*	-	-	*	NA	2020	R	fallen062
2	10	07,20	I	20-1	-	669	-	-	147	-	1	7496	2.2000000000000002	90	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen063
2	5	08,06	P	9-1	218	193	-	-	-	-	1	6948	19	300	-	-	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen064
2	6	09,12	E	5-1	258	211	-	-	84	-	1	7059	6	10	-	*	-	-	-	-	*	-	*	-	NA	*	2020	R	fallen065
2	6	09,12	G	9-1	859	690	-	-	122	-	1	no tag	5	210	-	*	-	0rientacion corregida es 210	-	-	*	*	-	-	NA	*	2020	R	fallen066
2	6	09,12	J	9-1	319	375	-	-	-	12	1	-	0.7	210	-	*	-	se esta rajando. Orientacion corregida 210	-	-	*	*	-	-	NA	*	2020	R	fallen067
2	6	09,12	P	2-1	206	143	-	-	-	-	1	217093	2.0	310	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen068
2	10	10,20	K	7-1	252	221	-	-	48	-	0	6784	4.0	20	-	*	-	-	-	*	-	-	*	-	NA	*	2020	R	fallen069
2	10	10,20	M	19-1	232	148	-	-	-	-	1	6784	11.0	360	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen070
2	10	10,20	M	19-2	297	-	-	-	-	-	1	6784	8.0	335	-	*	-	Se descompuso	-	-	*	*	-	-	NA	*	2020	R	fallen071
2	11	11,15	B	20-1	-	250	-	-	37	-	0	6531	3	170	-	*	-	-	*	-	-	-	-	*	*	NA	2020	R	fallen072
2	12	11,15	F	20-1	-	259	-	-	38	-	1	6885	2.1	94	-	*	-	-	-	-	*	-	*	-	NA	*	2020	R	fallen073
2	12	11,15	G	5-1	250	172	188	-	-	-	1	6753	11.0	280	-	-	-	-	-	-	*	-	*	-	NA	*	2020	R	fallen074
2	12	11,15	G	5-2	230	226	230	-	114	-	1	6753	1.8	242	-	*	-	-	-	*	-	-	*	-	*	NA	2020	R	fallen075
2	12	11,15	O	6-1	350	333	-	-	13	-	0	6532	0.0	126	-	*	-	-	-	-	*	-	*	-	NA	*	2020	R	fallen076
2	12	11,15	K	3-1	430	308	-	-	-	19	1	6528	2	30	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen077
2	10	12,23	C	NA	630	646	-	-	38	-	1	209063	11	200	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen078
2	10	12,23	I	8-1	687	670	597	-	33	-	1	209240	4.2	280	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen079
2	10	12,23	L	19-1	208	191	-	-	-	-	1	195473	3.0	210	-	-	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen080
2	10	12,23	L	19-2	220	190	-	-	-	-	1	195473	2.0	250	-	-	-	-	-	-	*	*	-	-	*	NA	2020	R	fallen081
2	12	14,05	K	2-1	412	-	-	-	-	-	1	no tag	16	308	-	-	Toca el suelo	Se descompuso. Solo se encontró el clavo	-	-	*	*	-	-	NA	*	2020	R	fallen082
2	12	14,14	B	8-1	732	727	774	753	35	-	1	7173	3	15	*	-	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen083
2	12	14,14	L	7-1	240	190	237	-	-	-	0	6173	9	60	-	-	esta en el aire	-	*	-	-	*	-	-	NA	*	2020	R	fallen084
2	12	14,14	L	7-2	239	208	-	191	43	-	0	6173	23	58	*	-	-	-	*	-	-	*	-	-	NA	*	2020	R	fallen085
2	12	14,14	N	9-1	279	245	368	371	29	-	1	6173	16	65	*	-	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen086
2	12	14,14	N	7-1	241	223	308	230	44	-	0	6173	10	40	*	-	Está en el aire	-	*	-	-	*	-	-	NA	*	2020	R	fallen087
2	12	14,14	N	7-2	547	530	175	-	12	-	0	6173	4	120	-	*	muy irregular	-	*	-	-	*	-	-	NA	*	2020	R	fallen088
2	12	14,14	N	7-3	238	240	308	314	29	-	0	6173	4	280	*	-	-	-	*	-	-	*	-	-	NA	*	2020	R	fallen089
2	11	14,24	A	19-1	450	741	488	-	-	3	1	6081	2	268	-	*	-	Se abrió y rompió donde pasa el transecto	-	-	*	-	*	-	NA	*	2020	R	fallen090
2	11	14,24	B	19-1	343	260	-	-	-	4	1	6081	22.7	140	*	-	-	-	-	-	*	-	*	-	*	NA	2020	R	fallen091
2	11	14,24	J	8-1	375	443	-	-	-	5	1	No tag	4	360	-	*	Es el mismo que K8-1	-	-	-	*	*	-	-	*	NA	2020	R	fallen092
2	11	14,24	K	8-1	405	123	-	-	-	-	1	No tag	4.0	180	-	*	Es el mismo que J8-1	-	-	-	*	*	-	-	NA	*	2020	R	fallen093
2	11	14,24	K	6-1	290	211	160	-	180	-	1	6087	4.7	190	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen094
2	11	14,24	K	19-1	274	262	-	-	58	-	1	194300	3.0	14	-	*	-	-	-	-	*	*	-	-	*	NA	2020	R	fallen095
2	11	14,24	K	5-1	351	360	-	-	-	1	1	194349	5.0	50	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen096
2	11	14,24	L	8-1	438	424	-	-	68	-	1	38243	2.8	100	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen097
2	14	15,07	C	8-1	265	-	-	-	-	-	1	No tag	0.0	310	-	*	-	se descompuso	-	-	*	-	*	-	*	NA	2020	R	fallen098
2	14	15,07	C	19-1	475	472	527	543	28	-	1	5956	5.6	25	*	-	en el aire	-	-	-	*	*	-	-	*	NA	2020	R	fallen099
2	14	15,07	C	19-2	346	326	-	-	-	14	1	514161	4.0	40	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen100
2	14	15,07	D	9-1	582	580	-	-	-	6	1	no tag	7.0	320	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen101
2	14	15,07	E	9-1	610	600	-	-	-	7	1	no tag	1	320	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen102
2	14	16,12	J	7-1	204	210	-	-	69	-	0	5675	0.2	20	-	*	-	-	-	*	-	*	-	-	NA	*	2020	R	fallen103
2	13	17.1	A	7-1	201	-	163	183	-	-	1	175131	10	40	*	-	en el aire ya no mide	-	-	-	*	*	-	-	NA	*	2020	V	fallen104
2	13	17,01	I	7-1	-	-	-	-	-	-	1	180276	-	-	-	-	Nada	-	-	-	*	*	-	-	*	NA	2020	V	fallen105
2	13	17,01	I	7-2	222	130	-	-	-	-	1	5907	16	100	-	-	En el aire pero no se puede medir cross section height por lianas	Ya no mide	-	-	*	-	*	-	NA	*	2020	V	fallen106
2	13	17,01	M	8-1	320	-	-	311	61	-	1	No tag	15	185	*	-	en el aire	Inclinacion  16.2  grados 174 con corteza	-	-	*	*	-	-	*	NA	2020	V	fallen107
2	11	18,23	O	7-1	274	273	-	-	-	2	1	no tag	14	250	-	*	-	Muestra rota	-	-	*	*	-	-	NA	*	2020	R	fallen108
2	13	19,02	C	19-1	283	-	-	268	-	1	1	No tag	16.0	180	-	*	-	1 golpe corteza  inclinacion 13.9 grados178	-	-	*	-	-	*	*	NA	2020	V	fallen109
2	13	19,02	I	19-1	206	-	-	193	-	-	0	No tag	5.0	306	-	*	En el suelo	No mide	*	-	-	-	*	-	*	NA	2020	V	fallen110
2	13	19,08	C	7-1	221	-	177	177	-	-	1	5217	11	215	*	-	en el aire	No mide	-	-	*	-	*	-	*	NA	2020	V	fallen111
2	14	19,12	C	3-1	275	183	-	-	-	-	1	no tag	2	235	-	*	En el suelo	-	-	-	*	*	-	-	NA	*	2020	R	fallen112
2	14	19,12	E	19-1	325	310	-	-	10	-	1	5332	3.5	340	-	*	En el suelo	-	-	-	*	-	*	-	*	NA	2020	R	fallen113
2	11	19,16	A	8-1	428	251	-	-	-	6	0	5047	2.0	230	-	-	-	-	*	-	-	*	-	-	NA	*	2020	R	fallen114
2	11	19,16	A	8-3	687	603	-	-	139	-	1	5047	0.4	220	-	-	-	-	*	-	-	*	-	-	NA	*	2020	R	fallen115
2	11	19,16	A	20-1	-	209	-	-	30	-	1	5177	17	115	*	-	-	-	-	*	-	-	*	-	*	NA	2020	R	fallen116
2	11	19,16	I	19-1	275	278	-	-	24	-	0	172362	9.3000000000000007	295	-	*	-	-	-	*	-	-	-	*	*	NA	2020	R	fallen117
2	11	19,16	I	19-2	241	322	320	240	24	-	0	172362	5.5	290	*	-	-	-	-	*	-	-	-	*	NA	*	2020	R	fallen118
2	11	19,16	N	6-1	402	152	-	-	-	-	0	5047	0.0	140	-	-	-	-	-	*	-	-	*	-	*	NA	2020	R	fallen119
2	11	19,16	O	5-1	254	143	-	-	-	-	1	5176	11.0	292	-	-	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen120
2	11	19,16	O	7-1	363	177	-	-	-	-	0	5047	7.0	246	-	-	-	-	-	*	-	*	-	-	NA	*	2020	R	fallen121
2	11	19,16	O	7-2	359	110	-	-	-	-	0	5047	24.0	218	-	-	-	-	-	*	-	*	-	-	NA	*	2020	R	fallen122
2	11	19,16	O	20-1	-	218	-	-	46	-	0	5177	25.5	340	*	-	-	-	-	*	-	-	*	-	*	NA	2020	R	fallen123
2	11	19,16	O	20-2	-	256	-	198	47	-	0	5177	1	270	*	-	-	-	-	*	-	-	*	-	*	NA	2020	R	fallen124
2	11	19,16	P	7-2	422	314	-	-	-	6	0	5047	1.0	140	-	-	-	-	-	*	-	*	-	-	NA	*	2020	R	fallen125
2	11	19,16	P	7-3	535	-	-	-	-	-	0	5047	3.0	175	-	-	-	Se descompuso solo clavo	-	*	-	*	-	-	NA	*	2020	R	fallen126
2	11	19,16	P	8-1	1010	1005	-	-	187	-	1	5047	0.0	50	-	-	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen127
2	11	19,19	C	9-1	482	250	-	-	126	-	1	-	5.8	160	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen128
2	11	19,19	G	2-1	333	363	-	-	34	-	0	-	6	310	-	*	-	-	*	-	-	*	-	-	NA	*	2020	R	fallen129
2	11	19,19	G	3-1	668	657	599	583	43	-	1	5389	3.0	273	-	*	-	-	-	-	*	*	-	-	*	NA	2020	R	fallen130
2	11	19,19	O	7-1	357	178	-	-	-	-	1	5154	3.0	318	-	-	-	-	-	-	*	*	-	-	*	NA	2020	R	fallen131
2	17	21,04	E	9-1	231	178	197	-	-	-	1	no tag	5.0	265	*	-	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen132
2	17	21,04	F	9-1	251	-	-	-	-	-	1	no tag	0.0	250	-	*	-	Nada	-	-	*	*	-	-	NA	*	2020	R	fallen133
2	17	21,04	H	4-1	345	-	-	-	-	-	0	4984	8.0	180	-	*	-	Nada	-	*	-	-	-	*	NA	*	2020	R	fallen134
2	17	21,04	M	4-1	354	323	427	365	88	-	1	no tag	2.0	10	*	-	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen135
2	19	21,15	B	3-1	74	-	-	-	-	-	1	no tag	-	-	-	-	-	no mide	-	-	*	*	-	-	NA	*	2020	V	fallen136
2	19	21,15	H	6-1	293	-	-	-	-	-	0	5047	4.0	208	-	*	-	Nada	-	*	-	*	-	-	NA	*	2020	V	fallen137
2	19	21,15	H	8-1	322	-	-	241	-	1	0	5047	3	130	-	*	-	-	-	*	-	*	-	-	NA	*	2020	V	fallen138
2	19	21,15	N	7-1	218	273	-	204	-	5	1	157413	0.9	300	*	-	-	Está rajado segunda medida 273	-	-	*	*	-	-	NA	*	2020	V	fallen139
2	19	21,15	P	2-1	193	-	-	-	-	-	1	no tag	-	-	-	-	-	No mide	-	-	*	*	-	-	NA	*	2020	V	fallen140
2	19	21,15	G	20-1	273	-	-	273	-	4	1	5046	10.9	220	-	*	-	Tronco vivo de pie	-	*	-	-	*	-	NA	*	2020	V	fallen141
2	19	21,17	K	8-1	313	-	352	315	-	6	1	721404	2.9	180	-	*	En el suelo	sin corteza	-	-	*	*	-	-	NA	*	2020	V	fallen142
2	19	21,17	L	8-1	696	-	-	165	-	-	1	No tag	10	80	-	*	En el suelo	-	-	-	-	-	-	-	NA	NA	2020	V	fallen143
2	19	21,17	O	20-1	-	415	-	365	48	-	1	157638	10.4	280	*	-	-	en el aire con corteza	-	-	*	*	-	-	*	NA	2020	V	fallen144
2	19	22,19	G	8-1	200	-	152	-	-	-	1	4847	7.0	114	-	*	En el suelo	nada	-	-	*	*	-	-	NA	*	2020	V	fallen145
2	19	22,19	J	20-1	-	324	-	353	110	-	1	4839	4.5	170	*	-	-	324 en el aire con corteza	-	-	*	*	-	-	*	NA	2020	V	fallen146
2	20	22,21	D	20-1	-	483	-	434	83	-	1	4839	5.9	180	*	-	-	-	-	-	*	*	-	-	*	NA	2020	R	fallen147
2	20	22,21	F	19-1	223	223	216	218	132	-	0	4833	28.0	40	*	-	En el aire	-	-	*	-	*	-	-	*	NA	2020	R	fallen148
2	20	22,21	F	20-1	-	228	-	-	112	-	1	4883	7.3	110	-	*	-	-	-	-	*	*	-	-	*	NA	2020	R	fallen149
2	20	22,21	H	20-1	-	738	-	-	57	-	1	4833	2.2000000000000002	350	-	*	-	Rajado	-	-	*	*	-	-	*	NA	2020	R	fallen150
2	20	22,21	L	2-1	290	271	298	295	11	-	0	4484	4.7	290	*	-	En el aire	-	*	-	-	*	-	-	NA	*	2020	R	fallen151
2	20	22,21	L	2-2	208	160	182	-	-	-	0	4484	1.0	290	*	-	En el aire	-	*	-	-	*	-	-	NA	*	2020	R	fallen152
2	20	22,21	M	2-2	521	505	342	-	7	-	1	4484	11.0	300	-	*	En el suelo	-	-	-	*	*	-	-	NA	*	2020	R	fallen153
2	17	23,03	D	19-1	847	848	727	727	144	-	1	4649	18	244	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen154
2	17	23,03	E	19-1	239	239	145	120	-	6	1	4649	3	354	*	-	-	la muestra siempre ha estado en el aire	-	-	*	*	-	-	NA	*	2020	R	fallen155
2	17	2306	B	19-1	443	218	-	-	-	10	1	4593	3	180	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen156
2	17	23,06	G	7-1	303	334	341	273	70	-	0	4673	12.0	250	*	-	-	-	-	*	-	-	*	-	NA	*	2020	R	fallen157
2	17	23,06	G	7-2	272	280	255	243	70	-	0	4673	11	230	*	-	-	-	-	*	-	-	*	-	NA	*	2020	R	fallen158
2	17	23,06	J	19-1	205	170	-	-	-	-	1	4586	7.0	10	-	*	-	-	-	-	*	-	*	-	*	NA	2020	R	fallen159
2	17	23,06	J	19-2	210	156	-	-	-	-	1	4586	2.0	145	-	*	-	-	-	*	-	-	*	-	NA	*	2020	R	fallen160
2	17	23,06	M	20-1	-	1212	-	-	61	-	1	4673	4.7	90	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen161
2	17	23,06	N	19-1	293	293	-	-	65	-	1	4586	4	180	-	*	-	-	-	-	*	-	*	-	NA	*	2020	R	fallen162
2	17	23,06	N	20-1	-	659	-	-	130	-	1	4673	2	90	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen163
2	19	23,17	A	19-1	223	180	187	239	17	-	1	no tag	3.8	150	*	-	-	con corteza  irregular 180	-	-	*	*	-	-	NA	*	2020	V	fallen164
2	19	23,17	I	6-1	197	-	-	-	193	-	1	no tag	-	-	-	*	solo corteza	No mide	-	-	*	-	*	-	*	NA	2020	V	fallen165
2	19	23,17	B	20-1	-	190	-	269	23	-	2	4524	14.2	160	*	-	-	en el aire iregular (190)con corteza tronco vivo  de pie	-	*	-	-	*	-	NA	NA	2020	V	fallen166
2	20	23,23	A	2-1	273	275	-	-	29	-	0	no tag	18	155	-	*	En el suelo	-	-	*	-	*	-	-	NA	*	2020	R	fallen167
2	20	23,23	A	2-2	275	281	-	-	8	-	0	no tag	1.0	330	*	-	En el suelo	-	-	*	-	*	-	-	NA	*	2020	R	fallen168
2	20	23,23	C	20-1	-	562	-	559	84	-	1	4785	1.5	340	*	-	-	-	-	-	*	*	-	-	*	NA	2020	R	fallen169
2	20	23,23	F	20-1	-	440	-	477	57	-	1	4785	5.4	340	*	-	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen170
2	20	23,23	G	20-1	-	550	-	-	35	-	1	4789	2.2000000000000002	306	-	*	-	-	-	-	*	*	-	-	*	NA	2020	R	fallen171
2	20	23,23	H	20-1	-	241	-	248	70	-	0	4789	35	210	*	-	-	-	*	-	-	*	-	-	*	NA	2020	R	fallen172
2	20	23,23	H	20-2	-	291	-	305	40	-	0	4789	0.2	310	*	-	-	-	*	-	-	*	-	-	*	NA	2020	R	fallen173
2	20	23,23	H	20-3	-	219	-	218	100	-	0	4789	12.6	310	*	-	-	-	*	-	-	*	-	-	NA	*	2020	R	fallen174
2	20	23,23	H	20-4	-	221	-	-	20	-	0	4789	4.5	316	-	*	-	-	*	-	-	*	-	-	*	NA	2020	R	fallen175
2	18	24,09	O	20-1	-	200	-	193	25	-	0	4211	24.3	100	*	-	-	-	-	*	-	-	-	*	*	NA	2020	R	fallen176
2	18	24,15	B	19-1	354	332	350	338	60	-	1	4386	2	235	*	-	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen177
2	18	24,15	K	19-1	210	198	292	-	-	-	0	4393	9.0	230	*	-	-	-	*	-	-	-	-	*	*	NA	2020	R	fallen178
2	18	24,15	K	19-2	283	283	267	266	37	-	0	4393	25.3	162	*	-	-	-	*	-	-	-	-	*	*	NA	2020	R	fallen179
2	20	25,24	H	19-1	281	157	215	-	-	-	0	4448	2	200	-	-	En el aire	-	-	*	-	-	-	*	NA	*	2020	R	fallen180
2	20	25,24	J	19-1	647	614	431	478	24	-	0	4448	8.5	25	*	-	En el aire	medida anterior de 430 parece equivocada ahro es 478	*	-	-	-	-	*	*	NA	2020	R	fallen181
