month	day	subplot_code	transect_section_letter	code_of_piece	diameter_width_prior	diameter_width.mm	diameter_height_prior	diameter_height.mm	branchfall	tag	inclination	orientation_degrees_prior	orientation_degrees	suspended	soil_contact	notes_prior	notes	RT	RR	TT	TC	TS	TV	MC	MS	year	uniqid
3	2	11,15	G	5-1	172	165	NA	162	1	6753	16.5	280	280	*	NA	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen085
3	2	11,15	G	5-2	226	242	NA	NA	1	6753	4.3	242	242	NA	*	NA	NA	NA	*	NA	*	NA	NA	NA	*	2021	fallen086
3	2	11,15	O	6-1	333	319	NA	NA	0	6532	1.7	126	120	NA	*	NA	NA	NA	NA	*	NA	*	NA	NA	*	2021	fallen087
3	2	11,15	K	3-1	308	85	NA	NA	1	6528	0	30	30	NA	*	NA	Se descompuso	NA	NA	*	*	NA	NA	NA	*	2021	fallen088
2	26	12,23	C	NA	646	NA	NA	665	1	209063	11.1	200	210	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen089
2	26	12,23	I	8-1	670	602	NA	633	1	209240	6.6	280	300	*	NA	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen090
2	26	12,23	L	19-1	191	NA	NA	NA	1	195473	NA	210	NA	NA	NA	NA	Se descompuso	NA	NA	*	*	NA	NA	NA	*	2021	fallen091
2	26	12,23	L	19-2	190	NA	NA	NA	1	195473	NA	250	NA	NA	NA	NA	Se descompuso	NA	NA	*	*	NA	NA	*	NA	2021	fallen092
3	2	14,05	F	21-1	NA	379	NA	NA	1	197229	8.2	NA	240	NA	*	Se descompuso. Solo se encontró el clavo	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen093
3	2	14,14	B	8-1	727	717	753	740	1	7173	3.3	15	15	*	NA	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen094
3	2	14,14	L	7-1	190	NA	NA	NA	0	6173	NA	60	NA	NA	NA	NA	Nada	*	NA	NA	*	NA	NA	NA	*	2021	fallen095
3	2	14,14	L	7-2	208	NA	191	NA	0	6173	NA	58	NA	*	NA	NA	Nada	*	NA	NA	*	NA	NA	NA	*	2021	fallen096
3	2	14,14	N	9-1	245	365	371	NA	1	6173	8.4	65	60	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen097
3	2	14,14	N	7-1	223	210	230	209	0	6173	8.9	40	48	*	NA	NA	NA	*	NA	NA	*	NA	NA	NA	*	2021	fallen098
3	2	14,14	N	7-2	530	525	NA	NA	0	6173	4.3	120	120	NA	*	NA	NA	*	NA	NA	*	NA	NA	NA	*	2021	fallen099
3	2	14,14	N	7-3	240	229	314	315	0	6173	0.9	280	220	*	NA	NA	Ubicación del año pasado incorrecta, son 220 grados	*	NA	NA	*	NA	NA	NA	*	2021	fallen100
2	26	14,24	A	19-1	741	NA	NA	NA	1	6081	NA	268	NA	NA	*	Se abrió y rompió donde pasa el transecto	Se descompuso	NA	NA	*	NA	*	NA	NA	*	2021	fallen101
2	26	14,24	B	19-1	260	NA	NA	NA	1	6081	NA	140	NA	*	NA	NA	Se descompuso	NA	NA	*	NA	*	NA	*	NA	2021	fallen102
2	26	14,24	J	8-1	443	NA	NA	NA	1	No tag	NA	360	NA	NA	*	NA	Se descompuso	NA	NA	*	*	NA	NA	*	NA	2021	fallen103
2	26	14,24	K	8-1	123	NA	NA	NA	1	No tag	NA	180	NA	NA	*	NA	Se descompuso	NA	NA	*	*	NA	NA	NA	*	2021	fallen104
2	26	14,24	K	6-1	211	NA	NA	NA	1	6087	NA	190	NA	NA	*	NA	Se descompuso	NA	NA	*	*	NA	NA	NA	*	2021	fallen105
2	26	14,24	K	19-1	262	251	NA	NA	1	194300	2.6	14	174	NA	*	NA	NA	NA	NA	*	*	NA	NA	*	NA	2021	fallen106
2	26	14,24	K	5-1	360	198	NA	NA	1	194349	8.2	50	40	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen107
2	26	14,24	L	8-1	424	409	NA	NA	1	38243	0.2	100	98	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen108
3	2	15,07	C	19-1	472	473	543	559	1	5956	0.7	25	28	*	NA	NA	NA	NA	NA	*	*	NA	NA	*	NA	2021	fallen109
