month	day	subplot_code	transect_section_letter	code_of_piece	diameter_prior	diameter_one.mm	height	POM	penetration.200mm	penetration.200mm.1	branches	tag	notes	year	observer	uniqid
2	20	32,07	F	3-1	223	208	1.5	0.75	81	NA	2	101440	se rompió y la altura es menor que la anterior. Sin corteza	2017	R	standing139
3	2	32,07	H	6-1	794	842	15.2	2.9	35	NA	2	3248	escalera. Sin corteza	2017	R	standing140
3	2	33,12	C	4-1	1241	847	4.4	3	NA	9	2	3036	sin corteza. Esta quebrado. Escalera. Perdió una parte del diametro	2017	R	standing141
2	16	33,12	L	0-1	120	245	1.6	0.80	NA	NA	2	92461	sin ramas. Se está rompiendo. A la altura de 1.30 mide menos de 200mm se cambio altura de dbh a 0.80	2017	R	standing142
2	14	33,21	O	5-1	693	702	9.7	1.3	120	NA	2	2805	sin ramas. con corteza	2017	R	standing143
2	20	34,04	F	3-1	207	228	2.6	1.3	89	NA	2	90840	sin corteza	2017	R	standing144
3	2	34,04	B	7-1	NA	1027	40.2	3.0	22	NA	0	2600	escalera. TACHVE	2017	R	standing145
2	15	34,15	F	7,1	275	NA	10.6	1,3	29	NA	1	93153	con corteza ,solo tiene 1 rama pequeña	2017	R	standing146
2	15	35,17	K	3-1	NA	NA	NA	1.3	NA	NA	NA	2464	Caido	2017	R	standing147
2	20	36,04	P	3-1	311	303	4.6	1.3	61	NA	2	2272	corteza	2017	R	standing148
2	20	36,10	K	2-1	231	NA	NA	0.56999999999999995	NA	NA	NA	2311	Se descompuso. Solo se encontraron algunos fragmentos	2017	R	standing149
2	20	36,10	M	6-1	306	312	2.5	1.3	75	NA	2	536230	con corteza. Sin ramas	2017	R	standing150
2	15	36,13	C	5-1	275	296	9.6	1.3	26	NA	2	82154	sin ramas ni corteza	2017	R	standing151
2	15	36,13	C	5-2	240	248	8,6	1.3	40	NA	2	2504	sin ramas. Corteza.	2017	R	standing152
2	15	36,13	F	9-1	261	268	5.54	2.2000000000000002	60	NA	NA	2506	sin ramas. Sin corteza	2017	R	standing153
